iter	Passed	Remaining
671	17353	8470
672	17380	8445
673	17407	8419
674	17433	8394
675	17461	8369
676	17487	8343
677	17514	8318
678	17541	8292
679	17566	8266
680	17593	8241
681	17622	8216
682	17648	8191
683	17674	8165
684	17701	8140
685	17727	8114
686	17754	8088
687	17781	8063
688	17804	8036
689	17831	8011
690	17857	7985
691	17885	7960
692	17912	7935
693	17937	7909
694	17963	7883
695	17989	7857
696	18016	7832
697	18043	7806
698	18071	7782
699	18098	7756
700	18127	7731
701	18155	7707
702	18181	7681
703	18211	7656
704	18236	7630
705	18262	7604
706	18288	7579
707	18315	7553
708	18337	7526
709	18364	7500
710	18388	7474
711	18413	7448
712	18441	7423
713	18466	7396
714	18491	7370
715	18516	7344
716	18543	7318
717	18568	7292
718	18595	7267
719	18622	7242
720	18647	7215
721	18672	7189
722	18698	7163
723	18725	7138
724	18749	7111
725	18776	7086
726	18802	7060
727	18829	7035
728	18855	7009
729	18881	6983
730	18907	6957
731	18933	6932
732	18961	6907
733	18988	6881
734	19013	6855
735	19039	6829
736	19060	6801
737	19085	6775
738	19110	6749
739	19134	6722
740	19159	6696
741	19188	6671
742	19211	6645
743	19237	6619
744	19262	6593
745	19287	6567
746	19313	6541
747	19339	6515
748	19363	6488
749	19389	6463
750	19415	6437
751	19440	6411
752	19464	6384
753	19491	6359
754	19517	6333
755	19542	6307
756	19568	6281
757	19594	6255
758	19621	6230
759	19647	6204
760	19675	6179
761	19699	6152
762	19724	6126
763	19745	6099
764	19770	6073
765	19795	6047
766	19819	6020
767	19846	5995
768	19871	5969
769	19896	5943
770	19919	5916
771	19946	5890
772	19969	5864
773	19995	5838
774	20021	5812
775	20047	5786
776	20073	5761
777	20098	5735
778	20123	5709
779	20150	5683
780	20177	5658
781	20201	5631
782	20228	5605
783	20254	5580
784	20280	5554
785	20306	5528
786	20332	5503
787	20358	5477
788	20384	5451
789	20411	5425
790	20437	5399
791	20463	5374
792	20489	5348
793	20515	5322
794	20541	5296
795	20567	5270
796	20593	5245
797	20619	5219
798	20646	5193
799	20672	5168
800	20698	5142
801	20724	5116
802	20751	5090
803	20780	5065
804	20806	5040
805	20832	5014
806	20863	4989
807	20888	4963
808	20914	4937
809	20938	4911
810	20965	4885
811	20993	4860
812	21018	4834
813	21044	4808
814	21072	4783
815	21099	4757
816	21126	4732
817	21155	4706
818	21182	4681
819	21211	4656
820	21239	4630
821	21266	4605
822	21291	4579
823	21322	4554
824	21348	4528
825	21376	4503
826	21405	4477
827	21435	4452
828	21464	4427
829	21490	4401
830	21516	4375
831	21543	4350
832	21564	4323
833	21589	4297
834	21611	4270
835	21636	4244
836	21662	4218
837	21686	4192
838	21714	4166
839	21740	4141
840	21765	4114
841	21792	4089
842	21818	4063
843	21843	4037
844	21868	4011
845	21892	3985
846	21925	3960
847	21952	3934
848	21977	3908
849	22002	3882
850	22027	3856
851	22054	3831
852	22079	3805
853	22105	3779
854	22129	3752
855	22155	3727
856	22183	3701
857	22210	3675
858	22235	3649
859	22262	3624
