scenario_id,sub_experiment_name,model_name,random_seed,train_samples,test_samples,hyperparameters,model_path,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
1.1,S1.1_I_2_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_I_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16393442622950818,0.1098360655737705,0.1098360655737705,0.09153005464480873,0.09153005464480873,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.18032786885245902,0.19672131147540983,0.21311475409836064,0.16393442622950818
1.1,S1.1_I_3_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_I_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2459016393442623,0.18306010928961747,0.18306010928961747,0.1557377049180328,0.1557377049180328,0.2459016393442623,0.2459016393442623,0.2459016393442623,0.26229508196721313,0.2786885245901639,0.29508196721311475,0.3114754098360656,0.2459016393442623
1.1,S1.1_T_1_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_T_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14754098360655737,0.11038251366120219,0.11038251366120219,0.09699453551912568,0.09699453551912568,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.16393442622950818,0.16393442622950818,0.18032786885245902,0.19672131147540983,0.14754098360655737
1.1,S1.1_T_2_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_T_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19672131147540983,0.13661202185792348,0.13661202185792348,0.11530054644808742,0.11530054644808742,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.21311475409836064,0.22950819672131148,0.22950819672131148,0.2459016393442623,0.19672131147540983
1.1,S1.1_T_3_S1toS2,NaiveBayes,42,61,61,"{'priors': None, 'var_smoothing': 1e-09}",scenario_results_scenarios_2025-12-23_134927_early_stop/naivebayes_S1.1_T_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16393442622950818,0.10601092896174863,0.10601092896174863,0.08469945355191257,0.08469945355191257,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.18032786885245902,0.19672131147540983,0.19672131147540983,0.21311475409836064,0.16393442622950818
1.1,S1.1_F_1_S1toS2,ExtraTrees,42,61,61,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini'}",scenario_results_scenarios_2025-12-23_134927_early_stop/extratrees_S1.1_F_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26229508196721313,0.20163934426229507,0.20163934426229507,0.1808743169398907,0.1808743169398907,0.26229508196721313,0.26229508196721313,0.29508196721311475,0.4098360655737705,0.5409836065573771,0.6721311475409836,0.6885245901639344,0.26229508196721313
1.1,S1.1_F_2_S1toS2,ExtraTrees,42,61,61,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini'}",scenario_results_scenarios_2025-12-23_134927_early_stop/extratrees_S1.1_F_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2459016393442623,0.180327868852459,0.180327868852459,0.15027322404371585,0.15027322404371585,0.2459016393442623,0.2459016393442623,0.26229508196721313,0.4918032786885246,0.5901639344262295,0.639344262295082,0.639344262295082,0.2459016393442623
1.1,S1.1_F_3_S1toS2,ExtraTrees,42,61,61,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini'}",scenario_results_scenarios_2025-12-23_134927_early_stop/extratrees_S1.1_F_3_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26229508196721313,0.20491803278688525,0.20491803278688525,0.1808743169398907,0.1808743169398907,0.26229508196721313,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.639344262295082,0.7049180327868853,0.7540983606557377,0.2459016393442623
1.1,S1.1_I_1_S1toS2,ExtraTrees,42,61,61,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini'}",scenario_results_scenarios_2025-12-23_134927_early_stop/extratrees_S1.1_I_1_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2459016393442623,0.18032786885245902,0.18032786885245902,0.15355191256830603,0.15355191256830603,0.2459016393442623,0.2459016393442623,0.22950819672131148,0.39344262295081966,0.5245901639344263,0.6065573770491803,0.6885245901639344,0.21311475409836064
1.1,S1.1_I_2_S1toS2,ExtraTrees,42,61,61,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False, 'criterion': 'gini'}",scenario_results_scenarios_2025-12-23_134927_early_stop/extratrees_S1.1_I_2_S1toS2_2025-12-23_134927_seed42_early_stop.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29508196721311475,0.21311475409836064,0.21311475409836064,0.18032786885245902,0.18032786885245902,0.29508196721311475,0.29508196721311475,0.3442622950819672,0.47540983606557374,0.5901639344262295,0.6557377049180327,0.7213114754098361,0.29508196721311475
