Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9727	0.9863	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9754	0.9918	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9536	0.9809	0.9891	0.9945	0.9945	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9399	0.9672	0.9863	0.9918	0.9945	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9727	0.9918	0.9945	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9727	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9781	0.9945	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9945	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9563	0.9836	0.9945	0.9945	0.9973	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9781	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9454	0.9754	0.9836	0.9891	0.9973	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9590	0.9863	0.9945	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9617	0.9973	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9645	0.9836	0.9973	0.9973	1.0000	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9809	0.9863	0.9945	1.0000	1.0000	
		mean					0.9684	0.9889	0.9954	0.9980	0.9991	
		std					0.0156	0.0094	0.0048	0.0034	0.0019	
												
Cross platform, same topic (2→1)	Scenario 3.2	[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	RandomForest
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9891	0.9945	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9945	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9918	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={T, F}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		mean					0.9964	0.9994	0.9997	1.0000	1.0000	
		std					0.0039	0.0018	0.0009	0.0000	0.0000	
												
Cross platform, cross topic (1→2)	Scenario 4.1	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9563	0.9809	0.9836	0.9836	0.9863	RandomForest
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9672	0.9754	0.9809	0.9809	0.9863	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9781	0.9836	0.9836	0.9836	0.9836	
		[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9699	0.9836	0.9836	0.9863	0.9863	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9645	0.9918	0.9918	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9317	0.9727	0.9863	0.9945	0.9945	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9836	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9426	0.9809	0.9891	0.9891	0.9918	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9536	0.9727	0.9973	0.9973	0.9973	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9290	0.9536	0.9727	0.9754	0.9863	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9563	0.9863	0.9891	0.9945	1.0000	
		[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9262	0.9645	0.9754	0.9781	0.9809	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9781	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9836	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9727	0.9836	0.9891	0.9918	0.9945	
		[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9754	0.9918	0.9918	0.9945	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9727	0.9918	0.9918	0.9918	0.9918	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9399	0.9863	0.9945	0.9973	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9809	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=122, test=122	0.9727	0.9836	0.9891	0.9891	0.9891	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9699	0.9809	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9508	0.9727	0.9754	0.9891	0.9918	
