,user_id,platform_id,session_id,Key.backspaceKey.backspace_median,Key.backspaceKey.backspace_mean,Key.backspaceKey.backspace_stdev,Key.backspaceKey.backspace_q1,Key.backspaceKey.backspace_q3,eKey.space_median,eKey.space_mean,eKey.space_stdev,eKey.space_q1,eKey.space_q3,Key.spacet_median,Key.spacet_mean,Key.spacet_stdev,Key.spacet_q1,Key.spacet_q3,tKey.space_median,tKey.space_mean,tKey.space_stdev,tKey.space_q1,tKey.space_q3,sKey.space_median,sKey.space_mean,sKey.space_stdev,sKey.space_q1,sKey.space_q3,Key.spacea_median,Key.spacea_mean,Key.spacea_stdev,Key.spacea_q1,Key.spacea_q3,th_median,th_mean,th_stdev,th_q1,th_q3,nKey.space_median,nKey.space_mean,nKey.space_stdev,nKey.space_q1,nKey.space_q3,Key.spacei_median,Key.spacei_mean,Key.spacei_stdev,Key.spacei_q1,Key.spacei_q3,Key.spaces_median,Key.spaces_mean,Key.spaces_stdev,Key.spaces_q1,Key.spaces_q3
12,1037,1,[1],228736500.0,362956099.4318182,551704950.2610778,171996750.0,328797750.0,226144500.0,259750157.14285713,175479420.51160756,142719500.0,343532250.0,472100000.0,1957983550.0,5666401250.211452,293787000.0,936860000.0,259577000.0,289043109.375,199128355.32610282,163662500.0,369170750.0,308875000.0,354805947.3684211,250708980.51929364,189395500.0,481298000.0,478351000.0,1156672437.5,2389378268.289524,279219250.0,678604000.0,217567000.0,395653000.0,355519029.31582534,133062500.0,760161250.0,249988500.0,250407727.27272728,107708936.86093788,158142500.0,320436250.0,514923500.0,567945166.6666666,286488610.6297344,398977250.0,674126000.0,523180000.0,1462040428.5714285,3897776220.2174244,338193500.0,802118000.0
13,1037,1,[2],208025500.0,312969781.25,324529276.3286142,168952250.0,279922500.0,226356500.0,268950850.0,180904564.51614895,156952750.0,348669500.0,438589500.0,437663060.0,173515448.42409965,297495250.0,571562750.0,236380000.0,339891400.0,326679761.4329972,149499500.0,361512000.0,277994500.0,324760388.8888889,214415398.88701218,175235250.0,424156250.0,467829500.0,510257875.0,289336868.28343827,321289750.0,633338750.0,156717000.0,401042800.0,526686273.2219817,123345750.0,276067750.0,287582500.0,341369129.6296296,232511263.01982835,212239500.0,417788750.0,558355000.0,613984642.8571428,375350886.88426065,264589750.0,975581000.0,437671000.0,608431136.3636364,504222217.44005215,272974750.0,718021750.0
14,1037,2,[1],191269500.0,215879744.1860465,112508841.26769628,161425500.0,246164500.0,199671500.0,240838633.33333334,185986430.44964027,123026000.0,315974500.0,355949000.0,402929043.4782609,273469543.153184,246981250.0,477068750.0,244564000.0,256063769.23076922,144821288.25291952,150053750.0,357431000.0,217784500.0,242634800.0,167286218.36519188,146324500.0,326526750.0,406023500.0,551573357.1428572,575956873.158034,268789500.0,552377000.0,157070500.0,195978300.0,140105618.2824586,119058250.0,276297000.0,278804500.0,276973346.15384614,123175566.91707051,167777250.0,342304750.0,546280500.0,611488357.1428572,301192526.5584426,406113500.0,854778500.0,341693500.0,483545833.3333333,435571557.9443115,216200750.0,561788750.0
15,1037,2,[2],194640000.0,250849213.1147541,181660475.2162865,167567500.0,262087750.0,232932000.0,291047048.38709676,241025838.14904425,149733750.0,380633750.0,337286500.0,387635140.0,244868890.48762482,230163000.0,458061750.0,228096500.0,253245057.69230768,158842599.0131321,152616500.0,344381500.0,265305500.0,336835045.45454544,315741511.68292093,155539750.0,364999750.0,590446000.0,626016375.0,367189843.43488365,319021000.0,948549750.0,198823500.0,198823500.0,102284641.9813356,161982750.0,235664250.0,268947500.0,276404913.04347825,128813795.34611462,179039250.0,377197000.0,410266500.0,624340812.5,490082087.1768854,264575750.0,786578750.0,340338500.0,397263000.0,238509609.63957205,221512250.0,505522750.0
16,1037,3,[1],180672500.0,192201281.25,83374944.6233828,141706000.0,220124000.0,212119500.0,247224106.06060606,172093803.34574485,133592500.0,338224500.0,446725000.0,1051453423.0769231,2662138365.9130864,286401000.0,632933250.0,249801000.0,283184666.6666667,215653310.91450667,140383500.0,349077250.0,235733000.0,256645700.0,149924672.77406344,161878750.0,344345750.0,402749000.0,981121958.3333334,1727064041.6516597,250455250.0,612172250.0,313139000.0,320586500.0,196255445.90341946,149870000.0,490716500.0,272317500.0,316534765.625,234904078.57112938,178624250.0,364141000.0,350631000.0,407941562.5,205737502.44166374,263949000.0,467593500.0,338164000.0,394176100.0,244397952.6624865,226780000.0,495597750.0
17,1037,3,[2],203039500.0,280657186.04651165,198937168.40219676,166069750.0,299047000.0,242651000.0,258156081.0810811,159451146.08367926,146383000.0,344478750.0,335419000.0,382029100.0,241655463.9677117,212864750.0,486665750.0,229228000.0,241426250.0,168739074.77810475,134791250.0,313807500.0,248995000.0,297371500.0,210266140.9508617,153902250.0,379361750.0,308970000.0,328874730.7692308,193469725.11084512,192949500.0,447409250.0,178286500.0,176779000.0,99893389.12810998,112248500.0,226386000.0,274231500.0,309298692.3076923,178636700.0016577,189463500.0,399722250.0,450681000.0,426362750.0,164216843.6325123,301633750.0,537084000.0,345384500.0,392253583.3333333,232253757.88454545,238566750.0,472542500.0
18,1039,1,[1],234841500.0,938383600.0,3532333593.2889104,171732250.0,503083750.0,191101000.0,274181250.0,270138164.5643618,133839000.0,258275250.0,274597000.0,296561312.5,113216737.72181875,224563750.0,348511750.0,270955500.0,297356062.5,152744735.18544295,201968250.0,345827000.0,195520000.0,201669892.85714287,107836338.54624307,126856750.0,262253500.0,297339000.0,553518088.2352941,809459311.7465861,199386750.0,491264250.0,163875000.0,240548921.0526316,270065153.64502245,108298000.0,234492500.0,203969000.0,219220500.0,78143413.80143094,177620750.0,244878000.0,836811000.0,1968070818.1818182,3111059963.1274695,618536750.0,1631968750.0,840681000.0,1897716850.0,2538085793.967607,297816750.0,1613234500.0
19,1039,1,[2],192782500.0,227546846.15384614,142072647.16962245,165469250.0,240228500.0,181167500.0,217357181.8181818,171387334.53089032,113118250.0,246873750.0,621707500.0,599842500.0,317333645.10361964,347497500.0,881811000.0,260327500.0,243045600.0,74428534.09304795,204436500.0,289536500.0,170826000.0,253837600.0,280119297.35443074,122040000.0,244683500.0,312075000.0,368648555.5555556,216883233.93071887,229249250.0,441764000.0,126281500.0,133700750.0,72599270.32246375,90935750.0,198273000.0,205799500.0,214083125.0,53970809.76367573,181213750.0,244231000.0,553733500.0,1344778666.6666667,1730934315.4798813,481498000.0,1001759750.0,5229721500.0,5195650900.0,4077922827.204738,1220374000.0,8083309500.0
20,1039,2,[1],174556500.0,341601695.65217394,634098133.3901433,149987750.0,234721500.0,160553500.0,210695843.75,178112161.79429772,111678750.0,224529750.0,319466500.0,796446400.0,1036132969.673555,234823750.0,408725500.0,261304000.0,267850600.0,101042335.5699976,196328500.0,312300500.0,178490500.0,207147285.7142857,139489801.8019658,124887250.0,246746750.0,353317000.0,675460750.0,608176161.8255129,268384750.0,872627750.0,159240500.0,242297555.55555555,255158698.09203973,113457500.0,227237500.0,204924000.0,206815750.0,47088662.83074409,190292250.0,227337000.0,561553000.0,570400083.3333334,77045624.62913163,503531750.0,620243250.0,511381000.0,1860434500.0,2111707740.0826268,307916750.0,3149436000.0
21,1039,2,[2],203539000.0,266096985.29411766,204087142.33410865,156370750.0,274544000.0,198247000.0,208478562.5,100139836.30136831,129179250.0,268867250.0,464775000.0,3349803700.0,7429925980.894784,327498250.0,1968622000.0,284106000.0,337256464.28571427,173998494.1954511,223436000.0,354764250.0,201481000.0,220643730.76923078,133250620.41681449,121935750.0,285241250.0,484219500.0,1041723333.3333334,1407142465.2159328,288348750.0,1187554000.0,189997500.0,192154833.33333334,80465817.32895446,138516500.0,247033000.0,192571000.0,199791000.0,44862033.7033443,179679250.0,229069250.0,593174500.0,706458428.5714285,379974793.1713393,470198000.0,694931000.0,521783500.0,932543700.0,730817075.6479422,312119250.0,1556095250.0
