scenario_id,K,train_samples_per_user,top1_mean,top1_std,top3_mean,top3_std,top5_mean,top5_std,n_features_mean,n_features_std,n_observations,baseline_top1_mean,baseline_top1_std,baseline_top3_mean,baseline_top5_mean
1.1,14,1,0.6423800850030359,0.04637591339710173,0.8585306618093503,0.04170813497018703,0.9380692167577414,0.03094890312601933,379.55555555555554,5.9052345314809465,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,15,1,0.6332726168791742,0.05285712513473574,0.8664238008500303,0.03876829991583384,0.9332119004250152,0.026089604000746308,381.8888888888889,7.018291120807844,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,16,1,0.6557377049180327,0.05418045664297815,0.8676381299332119,0.034002048336082044,0.9338190649666059,0.028928551458400932,384.44444444444446,8.1539671011833,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,17,1,0.6654523375834851,0.04148726068156452,0.8731026108075288,0.03710320709890481,0.9380692167577414,0.02664136507354488,390.55555555555554,5.6455110372573785,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,18,1,0.6745598057073466,0.04471158263590876,0.8724954462659381,0.0332045694125792,0.9344262295081968,0.024484852255923815,393.0,7.285391072339431,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,19,1,0.6873102610807529,0.04190044487882776,0.8761384335154827,0.03351441658726804,0.9344262295081968,0.024484852255923815,395.0,7.141428428542838,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,20,1,0.6824529447480266,0.04617737129357012,0.8907103825136612,0.03580093207207666,0.9514268366727383,0.03133001619298046,399.0,8.081317485886347,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,21,1,0.6885245901639344,0.04703166758883107,0.8986035215543412,0.024918794803605697,0.9556769884638737,0.02023920725732282,402.77777777777777,8.106660762480976,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,22,1,0.7067395264116576,0.05028875612177442,0.9022465088038858,0.030998342299907965,0.9453551912568307,0.022274302311041206,405.8888888888889,7.386751827704962,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
1.1,23,1,0.7176684881602915,0.03589704212976556,0.9131754705525197,0.029750585952857653,0.9666059502125075,0.022496623313709017,409.6666666666667,7.716116998754067,27,0.8233151183970856,0.050901641036471136,0.9520340012143291,0.9842137219186399
