model,experiment,scaler,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
RandomForest,IF_vs_T_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,2,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,1,1.0,0.6944444444444444,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,2,1.0,0.8055555555555556,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,3,1.0,0.8472222222222222,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,4,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,5,1.0,0.9305555555555556,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,1,1.0,0.9583333333333334,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,2,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,3,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,1,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,2,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,3,0.0,0.041666666666666664,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,4,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,5,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,1,1.0,0.9166666666666666,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,2,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,3,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,4,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,5,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,1,1.0,0.7083333333333334,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,2,1.0,0.8194444444444444,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,3,1.0,0.875,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,4,1.0,0.8888888888888888,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,5,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
