model,experiment,random_seed,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
MLP,S1_vs_S2_P1,42,True,1,0.09375,0.09183673469387756,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/mlp_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 36, 'early_stopping': True, 'hidden_layer_sizes': [50], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'}",2025-08-14_220927
MLP,S1_vs_S2_P1,42,True,2,0.1875,0.1836734693877551,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/mlp_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 36, 'early_stopping': True, 'hidden_layer_sizes': [50], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'}",2025-08-14_220927
MLP,S1_vs_S2_P1,42,True,3,0.25,0.2653061224489796,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/mlp_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 36, 'early_stopping': True, 'hidden_layer_sizes': [50], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'}",2025-08-14_220927
MLP,S1_vs_S2_P1,42,True,4,0.34375,0.35714285714285715,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/mlp_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 36, 'early_stopping': True, 'hidden_layer_sizes': [50], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'}",2025-08-14_220927
MLP,S1_vs_S2_P1,42,True,5,0.4375,0.4489795918367347,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/mlp_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 36, 'early_stopping': True, 'hidden_layer_sizes': [50], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 2000, 'solver': 'adam'}",2025-08-14_220927
NaiveBayes,S1_vs_S2_P1,42,True,1,0.84375,0.45918367346938777,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/naivebayes_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'priors': None, 'var_smoothing': 1e-09}",2025-08-14_220927
NaiveBayes,S1_vs_S2_P1,42,True,2,0.9375,0.6632653061224489,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/naivebayes_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'priors': None, 'var_smoothing': 1e-09}",2025-08-14_220927
NaiveBayes,S1_vs_S2_P1,42,True,3,1.0,0.8061224489795918,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/naivebayes_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'priors': None, 'var_smoothing': 1e-09}",2025-08-14_220927
NaiveBayes,S1_vs_S2_P1,42,True,4,1.0,0.826530612244898,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/naivebayes_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'priors': None, 'var_smoothing': 1e-09}",2025-08-14_220927
NaiveBayes,S1_vs_S2_P1,42,True,5,1.0,0.8469387755102041,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/naivebayes_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'priors': None, 'var_smoothing': 1e-09}",2025-08-14_220927
LightGBM,S1_vs_S2_P1,42,True,1,0.09375,0.09183673469387756,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/lightgbm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",2025-08-14_220927
LightGBM,S1_vs_S2_P1,42,True,2,0.1875,0.1836734693877551,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/lightgbm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",2025-08-14_220927
LightGBM,S1_vs_S2_P1,42,True,3,0.28125,0.2755102040816326,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/lightgbm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",2025-08-14_220927
LightGBM,S1_vs_S2_P1,42,True,4,0.375,0.3673469387755102,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/lightgbm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",2025-08-14_220927
LightGBM,S1_vs_S2_P1,42,True,5,0.46875,0.45918367346938777,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/lightgbm_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}",2025-08-14_220927
